temp1,temp2,dewPt1,dewPt2,press1,press2,humid1,humid2,wdir1,wdir2,wspeed1,wspeed2,temp_min1,temp_min2,dewPt_min1,dewPt_min2,press_min1,press_min2,humid_min1,humid_min2,wdir_min1,wdir_min2,wspeed_min1,wspeed_min2,temp_max1,temp_max2,dewPt_max1,dewPt_max2,press_max1,press_max2,humid_max1,humid_max2,wdir_max1,wdir_max2,wspeed_max1,wspeed_max2,rain1,rain2,is_rain1,is_rain2,y_temp,y_temp_min,y_temp_max,y_rain,y_is_rain
26.5,27.1,21.0,21.0,1007.85,1008.36,74.6,70.6,9.0,6.0,7.0,8.0,22.0,22.0,17.0,20.0,1005.81,1005.81,40.0,52.0,1,1,2.0,2.0,33.0,32.0,23.0,22.0,1009.8,1010.8,100.0,94.0,17,14,15.0,15.0,0.0,0.0,0,0,27.2,24.0,32.0,0.0,0
27.1,27.2,21.0,21.9,1008.36,1008.59,70.6,73.4,6.0,8.0,8.0,10.0,22.0,24.0,20.0,21.0,1005.81,1006.81,52.0,55.0,1,1,2.0,2.0,32.0,32.0,22.0,23.0,1010.8,1010.8,94.0,94.0,14,14,15.0,19.0,0.0,0.0,0,0,27.4,23.0,32.0,0.0,0
27.2,27.4,21.9,20.0,1008.59,1007.8,73.4,65.2,8.0,4.0,10.0,11.0,24.0,23.0,21.0,19.0,1006.81,1005.81,55.0,46.0,1,1,2.0,4.0,32.0,32.0,23.0,22.0,1010.8,1011.8,94.0,89.0,14,14,19.0,17.0,0.0,0.0,0,0,27.0,23.0,33.0,0.0,0
27.4,27.0,20.0,21.8,1007.8,1007.95,65.2,74.7,4.0,6.0,11.0,12.0,23.0,23.0,19.0,21.0,1005.81,1005.81,46.0,49.0,1,1,4.0,6.0,32.0,33.0,22.0,23.0,1011.8,1010.8,89.0,100.0,14,11,17.0,17.0,0.0,0.0,0,0,26.5,23.0,33.0,0.0,0
27.0,26.5,21.8,21.3,1007.95,1008.61,74.7,74.8,6.0,6.0,12.0,14.0,23.0,23.0,21.0,18.0,1005.81,1006.81,49.0,41.0,1,1,6.0,7.0,33.0,33.0,23.0,22.0,1010.8,1010.8,100.0,94.0,11,11,17.0,28.0,0.0,0.0,0,0,26.7,21.0,33.0,0.0,0
26.5,26.7,21.3,20.2,1008.61,1010.14,74.8,71.1,6.0,6.0,14.0,9.0,23.0,21.0,18.0,16.0,1006.81,1007.8,41.0,36.0,1,1,7.0,2.0,33.0,33.0,22.0,22.0,1010.8,1011.8,94.0,100.0,11,14,28.0,19.0,0.0,0.0,0,0,26.8,22.0,32.0,0.0,0
26.7,26.8,20.2,21.2,1010.14,1010.28,71.1,73.7,6.0,7.0,9.0,9.0,21.0,22.0,16.0,19.0,1007.8,1007.8,36.0,46.0,1,1,2.0,2.0,33.0,32.0,22.0,23.0,1011.8,1012.8,100.0,100.0,14,16,19.0,19.0,0.0,0.0,0,0,26.9,22.0,32.0,0.0,0
26.8,26.9,21.2,22.0,1010.28,1009.78,73.7,75.7,7.0,10.0,9.0,10.0,22.0,22.0,19.0,21.0,1007.8,1006.81,46.0,52.0,1,0,2.0,2.0,32.0,32.0,23.0,23.0,1012.8,1011.8,100.0,100.0,16,14,19.0,19.0,0.0,0.0,0,0,26.9,22.0,33.0,0.0,0
26.9,26.9,22.0,21.3,1009.78,1009.43,75.7,72.4,10.0,8.0,10.0,9.0,22.0,22.0,21.0,20.0,1006.81,1006.81,52.0,49.0,0,1,2.0,2.0,32.0,33.0,23.0,22.0,1011.8,1011.8,100.0,100.0,14,17,19.0,19.0,0.0,0.0,0,0,26.5,23.0,31.0,0.0,0
26.9,26.5,21.3,21.5,1009.43,1010.28,72.4,75.2,8.0,8.0,9.0,9.0,22.0,23.0,20.0,21.0,1006.81,1007.8,49.0,55.0,1,1,2.0,4.0,33.0,31.0,22.0,22.0,1011.8,1012.8,100.0,94.0,17,17,19.0,17.0,0.0,0.0,0,0,26.1,22.0,32.0,0.0,0
26.5,26.1,21.5,21.7,1010.28,1010.95,75.2,78.5,8.0,7.0,9.0,10.0,23.0,22.0,21.0,18.0,1007.8,1008.8,55.0,43.0,1,1,4.0,2.0,31.0,32.0,22.0,23.0,1012.8,1013.8,94.0,100.0,17,14,17.0,22.0,0.0,0.0,0,0,25.8,21.0,32.0,0.0,0
26.1,25.8,21.7,20.9,1010.95,1012.65,78.5,77.2,7.0,8.0,10.0,8.0,22.0,21.0,18.0,18.0,1008.8,1009.8,43.0,43.0,1,0,2.0,2.0,32.0,32.0,23.0,22.0,1013.8,1014.8,100.0,100.0,14,17,22.0,19.0,0.0,0.0,0,0,25.0,19.0,31.0,0.0,0
25.8,25.0,20.9,19.0,1012.65,1013.99,77.2,71.7,8.0,10.0,8.0,8.0,21.0,19.0,18.0,16.0,1009.8,1011.8,43.0,40.0,0,1,2.0,2.0,32.0,31.0,22.0,22.0,1014.8,1015.79,100.0,100.0,17,17,19.0,17.0,0.0,0.0,0,0,24.8,19.0,31.0,0.0,0
25.0,24.8,19.0,20.0,1013.99,1013.37,71.7,77.2,10.0,11.0,8.0,7.0,19.0,19.0,16.0,19.0,1011.8,1010.8,40.0,49.0,1,0,2.0,2.0,31.0,31.0,22.0,22.0,1015.79,1015.79,100.0,100.0,17,17,17.0,17.0,0.0,0.0,0,0,24.4,21.0,30.0,0.0,0
24.8,24.4,20.0,18.1,1013.37,1013.53,77.2,69.5,11.0,7.0,7.0,8.0,19.0,21.0,19.0,15.0,1010.8,1011.8,49.0,42.0,0,0,2.0,2.0,31.0,30.0,22.0,22.0,1015.79,1015.79,100.0,94.0,17,17,17.0,17.0,0.0,0.0,0,0,25.6,21.0,31.0,0.0,0
24.4,25.6,18.1,18.8,1013.53,1012.59,69.5,68.0,7.0,10.0,8.0,8.0,21.0,21.0,15.0,17.0,1011.8,1010.8,42.0,43.0,0,2,2.0,2.0,30.0,31.0,22.0,23.0,1015.79,1014.8,94.0,94.0,17,16,17.0,15.0,0.0,0.0,0,0,25.8,21.0,32.0,0.0,0
25.6,25.8,18.8,20.5,1012.59,1011.53,68.0,74.6,10.0,10.0,8.0,8.0,21.0,21.0,17.0,18.0,1010.8,1008.8,43.0,46.0,2,2,2.0,4.0,31.0,32.0,23.0,24.0,1014.8,1013.8,94.0,100.0,16,17,15.0,15.0,0.0,0.0,0,0,22.6,22.0,24.0,0.0,0
25.8,22.6,20.5,21.9,1011.53,1009.44,74.6,95.9,10.0,6.0,8.0,11.0,21.0,22.0,18.0,21.0,1008.8,1007.8,46.0,83.0,2,4,4.0,4.0,32.0,24.0,24.0,23.0,1013.8,1011.8,100.0,100.0,17,8,15.0,17.0,0.0,0.0,0,0,22.1,21.0,23.0,0.0,0
22.6,22.1,21.9,22.0,1009.44,1008.37,95.9,99.5,6.0,9.0,11.0,13.0,22.0,21.0,21.0,21.0,1007.8,1005.81,83.0,94.0,4,3,4.0,6.0,24.0,23.0,23.0,23.0,1011.8,1011.8,100.0,100.0,8,17,17.0,24.0,0.0,0.0,0,0,26.0,23.0,31.0,0.0,0
22.1,26.0,22.0,22.7,1008.37,1010.76,99.5,83.9,9.0,6.0,13.0,12.0,21.0,23.0,21.0,21.0,1005.81,1008.8,94.0,55.0,3,1,6.0,2.0,23.0,31.0,23.0,24.0,1011.8,1012.8,100.0,100.0,17,14,24.0,20.0,0.0,0.0,0,0,26.9,24.0,33.0,0.0,0
26.0,26.9,22.7,23.3,1010.76,1011.31,83.9,82.0,6.0,5.0,12.0,15.0,23.0,24.0,21.0,22.0,1008.8,1009.8,55.0,55.0,1,1,2.0,6.0,31.0,33.0,24.0,24.0,1012.8,1012.8,100.0,100.0,14,14,20.0,22.0,0.0,0.0,0,0,26.9,23.0,32.0,0.0,0
26.9,26.9,23.3,22.0,1011.31,1011.29,82.0,76.3,5.0,5.0,15.0,11.0,24.0,23.0,22.0,20.0,1009.8,1008.8,55.0,52.0,1,1,6.0,4.0,33.0,32.0,24.0,23.0,1012.8,1013.8,100.0,100.0,14,14,22.0,17.0,0.0,0.0,0,0,27.0,22.0,32.0,0.0,0
26.9,27.0,22.0,21.8,1011.29,1011.07,76.3,74.8,5.0,8.0,11.0,9.0,23.0,22.0,20.0,20.0,1008.8,1008.8,52.0,49.0,1,0,4.0,4.0,32.0,32.0,23.0,23.0,1013.8,1012.8,100.0,100.0,14,17,17.0,17.0,0.0,0.0,0,0,26.5,21.0,33.0,0.0,0
27.0,26.5,21.8,22.3,1011.07,1010.82,74.8,79.4,8.0,9.0,9.0,7.0,22.0,21.0,20.0,21.0,1008.8,1008.8,49.0,49.0,0,0,4.0,2.0,32.0,33.0,23.0,24.0,1012.8,1012.8,100.0,100.0,17,17,17.0,17.0,0.0,0.0,0,0,26.2,23.0,32.0,0.0,0
26.5,26.2,22.3,22.6,1010.82,1010.84,79.4,81.3,9.0,10.0,7.0,8.0,21.0,23.0,21.0,21.0,1008.8,1007.8,49.0,55.0,0,1,2.0,4.0,33.0,32.0,24.0,24.0,1012.8,1013.8,100.0,100.0,17,17,17.0,17.0,0.0,0.0,0,0,26.8,22.0,33.0,0.0,0
26.2,26.8,22.6,20.3,1010.84,1011.19,81.3,70.0,10.0,8.0,8.0,8.0,23.0,22.0,21.0,18.0,1007.8,1007.8,55.0,41.0,1,0,4.0,2.0,32.0,33.0,24.0,23.0,1013.8,1013.8,100.0,100.0,17,14,17.0,20.0,0.0,0.0,0,0,26.8,21.0,32.0,0.0,0
26.8,26.8,20.3,20.1,1011.19,1010.9,70.0,68.8,8.0,6.0,8.0,11.0,22.0,21.0,18.0,19.0,1007.8,1008.8,41.0,46.0,0,0,2.0,2.0,33.0,32.0,23.0,22.0,1013.8,1012.8,100.0,100.0,14,14,20.0,20.0,0.0,0.0,0,0,27.1,22.0,33.0,0.0,0
26.8,27.1,20.1,21.1,1010.9,1010.97,68.8,71.0,6.0,7.0,11.0,10.0,21.0,22.0,19.0,19.0,1008.8,1008.8,46.0,43.0,0,1,2.0,2.0,32.0,33.0,22.0,22.0,1012.8,1013.8,100.0,100.0,14,14,20.0,19.0,0.0,0.0,0,0,26.6,23.0,32.0,0.0,0
27.1,26.6,21.1,21.0,1010.97,1010.7,71.0,72.5,7.0,6.0,10.0,12.0,22.0,23.0,19.0,19.0,1008.8,1008.8,43.0,52.0,1,1,2.0,4.0,33.0,32.0,22.0,22.0,1013.8,1012.8,100.0,89.0,14,14,19.0,20.0,0.0,0.0,0,0,27.1,23.0,34.0,0.0,0
26.6,27.1,21.0,20.6,1010.7,1011.08,72.5,69.9,6.0,5.0,12.0,12.0,23.0,23.0,19.0,18.0,1008.8,1008.8,52.0,38.0,1,1,4.0,6.0,32.0,34.0,22.0,22.0,1012.8,1013.8,89.0,94.0,14,14,20.0,22.0,0.0,0.0,0,0,27.3,22.0,34.0,0.0,0
27.1,27.3,20.6,21.6,1011.08,1010.14,69.9,73.3,5.0,7.0,12.0,10.0,23.0,22.0,18.0,19.0,1008.8,1007.8,38.0,41.0,1,1,6.0,2.0,34.0,34.0,22.0,23.0,1013.8,1012.8,94.0,100.0,14,14,22.0,19.0,0.0,0.0,0,0,27.6,23.0,34.0,0.0,0
27.3,27.6,21.6,22.3,1010.14,1009.34,73.3,74.5,7.0,6.0,10.0,14.0,22.0,23.0,19.0,21.0,1007.8,1006.81,41.0,46.0,1,0,2.0,4.0,34.0,34.0,23.0,23.0,1012.8,1011.8,100.0,94.0,14,14,19.0,24.0,0.0,0.0,0,0,26.6,24.0,32.0,0.0,0
27.6,26.6,22.3,22.6,1009.34,1009.96,74.5,79.6,6.0,8.0,14.0,12.0,23.0,24.0,21.0,21.0,1006.81,1007.8,46.0,59.0,0,1,4.0,4.0,34.0,32.0,23.0,24.0,1011.8,1011.8,94.0,100.0,14,14,24.0,20.0,0.0,0.0,0,0,27.2,23.0,34.0,0.0,0
26.6,27.2,22.6,20.6,1009.96,1010.09,79.6,70.0,8.0,5.0,12.0,16.0,24.0,23.0,21.0,18.0,1007.8,1007.8,59.0,38.0,1,1,4.0,6.0,32.0,34.0,24.0,23.0,1011.8,1011.8,100.0,94.0,14,11,20.0,30.0,0.0,0.0,0,0,27.5,21.0,34.0,0.0,0
27.2,27.5,20.6,21.1,1010.09,1010.01,70.0,71.5,5.0,7.0,16.0,13.0,23.0,21.0,18.0,18.0,1007.8,1006.81,38.0,38.0,1,0,6.0,2.0,34.0,34.0,23.0,24.0,1011.8,1011.8,94.0,100.0,11,16,30.0,22.0,0.0,0.0,0,0,27.1,24.0,33.0,0.0,0
27.5,27.1,21.1,22.1,1010.01,1011.12,71.5,75.5,7.0,6.0,13.0,14.0,21.0,24.0,18.0,20.0,1006.81,1008.8,38.0,52.0,0,1,2.0,7.0,34.0,33.0,24.0,23.0,1011.8,1012.8,100.0,94.0,16,11,22.0,20.0,0.0,0.0,0,0,27.7,23.0,34.0,0.0,0
27.1,27.7,22.1,21.7,1011.12,1010.67,75.5,72.4,6.0,6.0,14.0,15.0,24.0,23.0,20.0,20.0,1008.8,1007.8,52.0,44.0,1,1,7.0,9.0,33.0,34.0,23.0,23.0,1012.8,1012.8,94.0,100.0,11,11,20.0,22.0,0.0,0.0,0,0,27.1,24.0,33.0,0.0,0
27.7,27.1,21.7,21.6,1010.67,1010.16,72.4,73.7,6.0,5.0,15.0,16.0,23.0,24.0,20.0,19.0,1007.8,1007.8,44.0,43.0,1,1,9.0,9.0,34.0,33.0,23.0,23.0,1012.8,1011.8,100.0,89.0,11,11,22.0,24.0,0.0,0.0,0,0,27.1,23.0,33.0,0.0,0
27.1,27.1,21.6,21.0,1010.16,1009.91,73.7,71.0,5.0,5.0,16.0,17.0,24.0,23.0,19.0,18.0,1007.8,1007.8,43.0,41.0,1,1,9.0,6.0,33.0,33.0,23.0,23.0,1011.8,1011.8,89.0,94.0,11,11,24.0,26.0,0.0,0.0,0,0,27.1,23.0,33.0,0.0,0
